id,position,name,score,ratings,category,price_range,full_address,zip_code,lat,lng
750,62,Hunt Brothers Pizza,5.0,11.0,"American, Italian, Wings",$$,"6090 Old Madison Pike NW, Huntsville, AL, 35806",35806,34.71347,-86.658061
21570,58,The Italian Gourmet (Vienna),5.0,40.0,"Sandwich, Italian",$$,"505 Maple Ave W, Vienna, VA, 22180",22180,38.8951055,-77.2747628
49999,165,Dante's Italian Eatery - Greenville Ave.,5.0,41.0,"Italian, Pizza, Pasta",$$,"12101 Greenville Ave, Dallas, TX, 75243",75243,32.9122412,-96.746114
43506,37,Pizza Novo,5.0,10.0,"Pizza, Italian, Sandwich, Wings",$$,"6711 S Fry Rd, Katy, TX, 77494",77494,29.7132103,-95.7755669
12906,294,Soho Teriyaki,5.0,41.0,"Asian, Japanese, Chicken",$$,"10427 SE 240th St, Kent, WA, 98031",98031,47.3865974,-122.2012174
7870,231,Teriyaki Express,5.0,11.0,"Japanese, Chinese, Family Meals",$$,"1402 SE, Everett, WA, 98208",98208,47.9105211,-122.2129715
23084,251,Good Fortune,5.0,10.0,"Chinese, Sushi, Asian Fusion, Seafood, Chicken",$$,"42864 Truro Parish Dr, Ashburn, VA, 20148",20148,39.0182,-77.51981
30742,149,Sake Restaurant,5.0,39.0,"Japanese, Asian, Sushi",$$,"8657 Highland Dr, Sandy, UT, 84093",84093,40.59339,-111.83073
11123,82,Rollin' Fresh (Killingsworth),5.0,61.0,"Sushi, Japanese, Hawaiian, Family Meals",$$,"625 NE Killingsworth St, Portland, OR, 97211",97211,45.5628953,-122.6589636
25538,8,Yama Sushi Roll House (401 Granby ST),5.0,24.0,"Sushi, Japanese, Asian, Asian Fusion",$$,"401 Granby St, Norfolk, VA, 23510",23510,36.8514723,-76.289931
58805,97,Curry Express,5.0,12.0,"Indian, Vegetarian, Asian",$$,"2014 S Goliad St, Rockwall, TX, 75087",75087,32.90944,-96.45188
26569,255,Green Bamboo Asian Bistro,5.0,64.0,"Chinese, Asian Fusion, Family Friendly",$$,"5751 Fishers Ln, Rockville, MD, 20852",20852,39.062913,-77.117925
15626,74,Midori Teriyaki Wok,5.0,13.0,"Asian, Chinese, Family Meals",$$,"1202 Supermall Way # 105, Auburn, WA, 98001",98001,47.2963181,-122.2471688
14639,130,Town Story,5.0,26.0,"Chinese, Family Meals, Exclusive to Eats",$$,"6211 Evergreen Way, Everett, WA, 98203",98203,47.9413185,-122.2172628
35736,165,Palenque Grill (La Cantera),5.0,19.0,"Mexican, Latin American, New Mexican, Seafood, Steak, Chicken, Family Meals, Family Friendly",$$,"15900 La Cantera Pkwy, San Antonio, TX, 78256",78256,29.592398,-98.6113062
61064,80,Fadias bakery,5.0,16.0,"Mediterranean, Salads, Pizza, Healthy",$$,"910 W Parker Rd, Plano, TX, 75075",75075,33.0407772,-96.7140606
357,49,Mr. Lin Chinese Restaurant,5.0,23.0,"Chinese, Asian, Asian Fusion",$$,"475, Helena, AL, 35080",35080,33.279,-86.8511
9306,108,Tiantian Noodles,5.0,14.0,"Asian, Chinese, Vegetarian Friendly",$$,"15230 NE 24th St, Redmond, WA, 98052",98052,47.632015,-122.136333
52913,131,Golden Oolong,5.0,42.0,"Bubble Tea, Juice and Smoothies, Japanese",$$,"1041 Blalock Rd, Houston, TX, 77055",77055,29.7858384,-95.5219095
30875,56,Ginza Japanese Shabu Shabu,5.0,22.0,"Japanese, Asian",$$,"9460 S Union Square, Sandy, UT, 84070",84070,40.579732,-111.874071
7870,231,Teriyaki Express,5.0,11.0,"Japanese, Chinese, Family Meals",$$,"1402 SE, Everett, WA, 98208",98208,47.9105211,-122.2129715
18150,33,Olympians Family Restaurant (Alexandria),4.9,175.0,"Greek, Salads, Italian, American, Pizza, Healthy, Family Friendly, Group Friendly",$$,"6432 Landsdowne Centre Drive, Alexandria, VA, 22315",22315,38.7403126,-77.1656101
18151,32,Spartan's Family Restaurant (Burke),4.9,120.0,"Greek, Salads, Italian, American, Pizza, Healthy, Family Friendly",$$,"9542, Burke, VA, 22015",22015,38.7953407,-77.2714513
28938,52,Sababa,4.9,67.0,"Mediterranean, Vegetarian, Healthy, Family Friendly",$$,"3311 Connecticut Ave NW, Washington, DC, 20008",20008,38.9338838,-77.0572075
40293,137,Aba (Austin),4.9,127.0,"Mediterranean, Seafood, Comfort Food, Allergy Friendly, Alcohol",$$,"1011 S Congress Ave, Austin, TX, 78704",78704,30.253928,-97.747656
38110,28,Luna Grill - Clearfork,4.9,169.0,"Mediterranean, Greek, Family Meals",$$,"5239 Marathon Avenue, Fort Worth, TX, 76109",76109,32.708929,-97.400106
23031,205,OLIVE'S PIZZA,4.9,12.0,"Italian, Pizza",$$,"34 Catoctin Cir SE, Leesburg, VA, 20175",20175,39.10782,-77.56425
31320,123,Spitz (Lehi),4.9,27.0,"Mediterranean, Middle Eastern",$$,"3601 Digital Dr. STE 210, Lehi, UT, 84043",84043,40.4323271,-111.8887831
33127,285,Villa Vinci,4.9,29.0,"Mediterranean, Pizza, Italian",$$,"117 N Ballad Ave, Wylie, TX, 75098",75098,33.01486,-96.53917
33707,38,Ali Baba Mediterranean Grill,4.9,105.0,"Mediterranean, Allergy Friendly, Family Friendly",$$,"2103 N Central Expy, Richardson, TX, 75080",75080,32.9786861,-96.7155861
24300,11,Lucie Monroe's,4.9,30.0,"Mediterranean, Vegetarian Friendly, Burgers, Salads, Sandwich, Healthy",$$,"1301 S Main St, Blacksburg, VA, 24060",24060,37.21726,-80.40009
33127,285,Villa Vinci,4.9,29.0,"Mediterranean, Pizza, Italian",$$,"117 N Ballad Ave, Wylie, TX, 75098",75098,33.01486,-96.53917
13438,195,The Butcher's Table,4.9,47.0,"Steak, American, Comfort Food, Healthy, ButcherShop",$$,"2121 Westlake Ave, Seattle, WA, 98121",98121,47.6174794,-122.3380006
51017,215,Genesis Steakhouse and Wine Bar,4.9,12.0,"American, Breakfast and Brunch, Steak",$$$,"5300 N Braeswood Blvd, Houston, TX, 77096",77096,29.6789801,-95.4781136
20338,205,Et Voila!,4.9,34.0,"Salads, Vegetarian, French, Modern French, Belgian, Salads, Burgers, Steak, Pasta, Healthy, Family Meals",$$,"5120 MacArthur Boulevard, Washington, DC, 20016",20016,38.9254431,-77.1023268
43265,155,Rosa's Pizza Ristorante Italiano,4.9,54.0,"Italian, Pasta, Comfort Food, Family Meals",$$,"510 S Mason Rd, Katy, TX, 77450",77450,29.7762894,-95.752655
47396,9,Cafe Gecko - Plano,4.9,16.0,"American, Italian",$$,"6145 Windhaven Pkwy, Plano, TX, 75093",75093,33.0553935,-96.8321754
44769,53,The Pizza Joint,4.9,21.0,"Pizza, American, Italian",$$,"7000 WESTWIND, EL PASO, TX, 79912",79912,31.85276,-106.54123
25278,32,Vocelli Pizza (721 East Main Street),4.9,10.0,"Pizza, Italian, Pasta",$$,"721 East Main Street, Purcellville, VA, 20132",20132,39.1376459,-77.7038795
50066,126,Fireside Pies - Knox/Henderson,4.9,192.0,"Italian, Family Friendly",$$,"2820 N Henderson Ave, Dallas, TX, 75206",75206,32.8197955,-96.7839634
13449,98,Tutta Bella Neapolitan Pizzeria - Issaquah,4.9,190.0,"Italian, Pasta, Comfort Food",$$,"715 Northwest Gilman Boulevard, Issaquah, WA, 98027",98027,47.54296,-122.04776
50318,7,The Burger Den (8233 East R.L. Thornton Frwy.),4.9,14.0,"Chicken Strips, Salads, Sanwiches, Steak",$$,"8233 East R.L. Thornton Frwy., Dallas, TX, 75228",75228,32.79461,-96.69916
22134,76,Morton's The Steakhouse (11956 Market Street),4.9,32.0,"Steak, American, Healthy, Gluten Free Friendly, Desserts",$$$,"11956 Market Street, Reston, VA, 20190",20190,38.958976,-77.3592573
56200,258,Ruth's Chris Steak House (17803 La Cantera Pkwy),4.9,16.0,"Steak, American, Seafood, Salads, Desserts, Healthy",$$$,"17803 La Cantera Terrace, San Antonio, TX, 78256",78256,29.6103372,-98.6059245
144,80,Godfather's Pizza (231 State Farm Pkwy),4.9,16.0,"Pizza, American, Italian",$$,,,33.44629,-86.82708
20384,217,Two Chefs Pizza (Arlington),4.9,15.0,"Pizza, Italian, Salads, Desserts, Healthy",$$,"5019 Wilson Blvd, Arlington, VA, 22203",22203,38.8782074,-77.1219152
54222,84,Di Rosani's,4.9,34.0,Italian,$$,"105 S Main St, Irving, TX, 75060",75060,32.8136527,-96.9464585
51606,169,MaMa's Kitchen,4.9,124.0,"Chinese: Sichuan, Noodles, Asian",$$,"3815 Richmond Ave Ste B, Houston, TX, 77027",77027,29.7322406,-95.4387899
8305,175,OSAKA GRILL TERIYAKI,4.9,63.0,"Japanese, Chinese, Family Friendly",$$,"18001, Bothell, WA, 98012",98012,47.8336596,-122.2094036
39755,251,China Harbor,4.9,22.0,"Asian, Chinese",$$,"801 E William Cannon Dr, Austin, TX, 78745",78745,30.1905894,-97.7718639
13743,27,Stirfry 88 Kitsap Mall,4.9,26.0,"Chinese, Asian",$$,"10315, Silverdale, WA, 98383",98383,47.6564346,-122.6907943
7890,160,Teasome,4.9,81.0,"Healthy, Asian, Chinese, Asian Fusion",$$,"6412 Phinney Ave N, Seattle, WA, 98103",98103,47.6758379,-122.3540871
16047,15,Kim's Teriyaki,4.9,66.0,"Japanese, Asian, Sushi, Asian Fusion, Family Meals",$$,"1894 SE Sedgwick Rd, Ste 102, Port Orchard, WA, 98366",98366,47.504509,-122.6282668
15391,71,Teriyaki Bowl,4.9,35.0,"Vegetarian Friendly, Japanese",$$,"3121 E Madison St, Seattle, WA, 98112",98112,47.62623,-122.29189
16847,216,Asiana Teriyaki,4.9,28.0,"Japanese, Asian",$$,"920 15th St SW, Auburn, WA, 98001",98001,47.2953,-122.2405871
22376,162,Poke Bowl - Sterling,4.9,218.0,"Japanese, Asian",$$$,"21435 Epicerie Plaza, Sterling, VA, 20164",20164,39.0233356,-77.3955766
26047,26,Molly Ramen•Poke•Tea,4.9,136.0,"Japanese, Asian, Asian Fusion",$$,"6525 College Park Sq, Virginia Beach, VA, 23464",23464,36.810415,-76.2162335
14680,139,Teriyaki Diner,4.9,200.0,"Asian Fusion, Chinese, Japanese, Women-owned, Group Friendly",$$,"303 91st Avenue Northeast, Lake Stevens, WA, 98258",98258,48.00016,-122.10701
13115,227,Kizuki Ramen &amp; Izakaya (West Seattle),4.9,148.0,"Vegetarian Friendly, Ramen, Asian, Japanese, Family Meals",$$,"4203 SW Alaska St, Seattle, WA, 98116",98116,47.560778,-122.3858811
13111,239,Sushi Kanpai,4.9,78.0,"Japanese, Sushi, Seafood, Family Friendly",$$,"900 8th Ave, Seattle, WA, 98104",98104,47.6074276,-122.3278008
12554,4,Moshi Moshi,4.9,174.0,"Japanese, Family Friendly, Exclusive to Eats",$$,"110 N, Tacoma, WA, 98403",98403,47.2645596,-122.4491974
12275,49,Sushido (Tacoma),4.9,18.0,"Japanese, Sushi, Noodles, Chinese",$$,"1620 S Mildred St, Tacoma, WA, 98465",98465,47.2457691,-122.5269122
12550,8,THEKOI Japanese Cuisine,4.9,124.0,"Sushi, Japanese, Family Friendly",$$,"1552 Commerce St, Tacoma, WA, 98402",98402,47.2472471,-122.4384414
12504,63,Indo Asian Street Eatery,4.9,155.0,"Sandwich, Vietnamese, Vegetarian Friendly, Japanese, Asian Fusion, Asian",$$,"110 N, Tacoma, WA, 98403",98403,47.2645716,-122.4492312
